ILN	ELN	Name der Einrichtung	ISIL
0119	3119/0005	Bibliothek des Thüringer Innenministeriums	
0119	3119/0006	Bibliothek des Thüringer Finanzministeriums	DE-EF32
0119	3119/0008	Bibliothek des Ministeriums für Soziales, Familie und Gesundheit	
0119	3119/0009	Bibliothek des Thüringer Ministeriums für Wirtschaft und Arbeit	
0119	3119/0010	Bibliothek des Thüringer Kultusministeriums	
0119	3119/0011	Bildungszentrum der Thüringer Landesverwaltung in Gotha und Verwaltungsfachhochschule für die öffentliche Verwaltung, Bibliothek 	DE-G11
0119	3119/0012	Thüringer Landesamt für Statistik	
0119	3119/0013	Landgericht Erfurt, Bibliothek 	DE-Ef21 
0119	3119/0014	Justizzentrum Erfurt	
0119	3119/0015	Justizzentrum Mühlhausen, Bibliothek Landgericht Mühlhausen	DE-Ms8 
0119	3119/0016	Thüringer Finanzgericht, Bibiothek	
0119	3119/0017	Staatsanwaltschaft Mühlhausen, Bibliothek	
`0119	3119/0018	Sozialgericht Nordhausen	
0120	0715	Bibliotheks-und Informationssystem der Carl von Ossietzky Universität Oldenburg (BIS) 	DE-715
0121	0045	Landesbibliothek (LB) Oldenburg	DE-45
0122	0897	Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Oldenburg, Bibliothek 	DE-897
0123	3311	Franckesche Stiftungen, Studienzentrum August Hermann Francke, Archiv und Bibliothek	DE-Ha33
0127	3564	Hochschule für Musik und Theater, Bibliothek HfMT Hamburg	DE-18-258
0129	3129	Department für Agrarökonomie und Rurale Entwicklung (DARE)	DE-7-061
0130	0700	Universitätsbibliothek Osnabrück 	DE-700
0131	3131	Universitätsbibliothek Vechta 	DE-Va1
0132	0959	HS Osnabrück	--
0132	0959/0001	Hochschule Osnabrück, Bibliothek Campus Westerberg 	DE-959 
0132	0959/0002	Hochschule Osnabrück, Bibliothek Campus Haste	DE-959-1 
0132	0959/0004	Hochschule Osnabrück, Bibliothek Campus Lingen 	DE-959-3 
0134	3134	Zeitschriftengesamtverzeichnis Göttingen (ZGG), Göttingen	--
0135	3313	Landesamt für Denkmalpflege und Archäologie (LDA), Halle	
0135	3313/0001	Landesamt für Denkmalpflege und Archäologie - Bibliothek, Halle	DE-Ha115
0136	3526	Hochschule Wismar, University of Applied Sciences: Technology, Business and Design, Hochschulbibliothek 	DE-Wis1
0138	0564	Hochschule Nordhausen, Hochschulbibliothek  	DE-564
0139	3568	Hochschule für Bildende Künste (HfbK), Hamburg, Bibliothek 	DE-18-26 
0140	0839	Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Wilhelmshaven, Bibliothek 	DE-839
0147	3528	Zentrale Hochschulbibliothek Flensburg  	DE-Fl3
0148	3529	Musikhochschule Lübeck, Bibliothek	DE-Lue12
0150	3406	Ernst-Abbe Hochschschule Jena	DE-J59
0151	0546	FH Erfurt	DE-546
0152	3405	FH Schmalkalden	DE-Shm2
0153	3315	MPI für Mikrostrukturphysik, Halle	DE-Ha94
0154	3713	Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung, (AWI), Bibliothek Bremerhaven	DE-Bv2
0154	3713/0002	AWI Sylt	--
0154	3713/0003	AWI Helgoland	--
0154	3713/0004	AWI Potsdam	--
0156	0204	Ibero-Amerikanisches Institut Preußischer Kulturbesitz, Bibliothek (IAI SPK) Berlin	DE-204
0160	0755	HSB Emden/Leer	DE-755
0161	0960	HS Hannover	DE-960
0161	0960/0001	Bibliothek der Hochschule Hannover, Zentralbibliothek 	DE-960-1
0161	0960/0004	Bibliothek der Hochschule Hannover, Teilbibliothek Bioverfahrenstechnik 	DE-960-4
0161	0960/0007	Hochschule Hannover, Teilbibliothek Diakonie, Gesundheit und Soziales 	DE-960-7
0162	3162	Deutsches Schifffahrtsmuseum (DSM), Bremerhaven	DE-Bv3
0163	0996	Hochschule für Musik, Theater und Medien Hannover, Bibliothek 	DE-996
0164	0916	Ostfalia Hochschule für angewandte Wissenschaften, Bibliothek, Wolfenbüttel	DE-916
0165	0834	HBK Braunschweig	DE-834
0168	3168	Forschungszentrum Borstel	DE-Bst1
0170	3027	PTB Braunschweig + Berlin	--
0170	3027/0001	PTB Braunschweig	DE-Bs68
0170	3027/0002	PTB Berlin	DE-B108
0171	3309	Deutsche Akademie der Naturforscher Leopoldina, Bibliothek, Halle	DE-Ha2
0172	0048	StB Lübeck	DE-48
0175	3285	ifo Institut für Wirtschaftsforschung an der Universität München, Bibliothek	DE-M158a
0176	3703	Die Ostfries. Bibl. Aurich/Emden	--
0176	3703/0001	Landschaftsbibliothek, Aurich 	DE-Au3
0176	3703/0002	Johannes a Lasco Bibliothek Große Kirche Emden	DE-Em2
0176	3703/0003	Studienseminar Aurich	
0176	3703/0004	Schulbibliothek in Ostfriesland	
0176	3703/0005	Museumsbibliothek in Ostfriesland	
0178	3178	Universitätsbibliographie Magdeburg	
0179	8306	Akademie der Wissenschaften Berlin-Brandenburg (ADW)	DE-B4
